x,y,label,time,motherx,mothery
17,32,1,1904,16,32
17,33,1,1972,17,32
17,34,1,2036,17,33
17,35,1,2096,17,34
17,36,1,2152,17,35
17,37,1,2204,17,36
17,38,1,2252,17,37
17,39,1,2296,17,38
17,40,1,2336,17,39
17,41,1,2362,17,42
17,42,1,2326,17,43
17,43,1,2286,17,44
17,44,1,2242,17,45
17,45,1,2194,17,46
17,46,1,2142,17,47
17,47,1,2085,17,48
17,48,1,2024,17,49
17,49,1,1959,17,0
18,0,1,1954,18,1
18,1,1,1886,18,2
18,2,1,1814,18,3
18,3,1,1738,18,4
18,4,1,1658,17,4
18,5,1,1577,17,5
18,6,1,1489,17,6
18,7,1,1398,17,7
18,8,1,1302,17,8
18,9,1,1204,17,9
18,10,1,1108,17,10
18,11,1,1019,17,11
18,12,1,933,17,12
18,13,1,857,17,13
18,14,1,777,17,14
18,15,1,701,17,15
18,16,1,643,17,16
18,17,1,716,17,17
18,18,1,792,17,18
18,19,1,873,17,19
18,20,1,958,17,20
18,21,1,1047,17,21
18,22,1,1135,17,22
18,23,1,1231,17,23
18,24,1,1327,17,24
18,25,1,1421,17,25
18,26,1,1512,17,26
18,27,1,1599,17,27
18,28,1,1682,17,28
18,29,1,1761,17,29
18,30,1,1836,17,30
18,31,1,1907,17,31
18,32,1,1971,17,32
18,33,1,2035,18,32
18,34,1,2095,18,33
18,35,1,2151,18,34
18,36,1,2203,18,35
18,37,1,2251,18,36
18,38,1,2295,18,37
18,39,1,2335,18,38
18,40,1,2370,18,39
18,41,1,2393,18,42
18,42,1,2361,18,43
18,43,1,2325,18,44
18,44,1,2284,18,45
18,45,1,2239,18,46
18,46,1,2190,18,47
18,47,1,2137,18,48
18,48,1,2080,18,49
18,49,1,2019,18,0
19,0,1,2018,18,0
19,1,1,1955,18,1
19,2,1,1887,18,2
19,3,1,1815,18,3
19,4,1,1739,18,4
19,5,1,1662,18,5
19,6,1,1578,18,6
19,7,1,1491,18,7
19,8,1,1399,18,8
19,9,1,1303,18,9
19,10,1,1205,18,10
19,11,1,1112,18,11
19,12,1,1022,18,12
19,13,1,942,18,13
19,14,1,858,18,14
19,15,1,778,18,15
19,16,1,717,18,16
19,17,1,794,18,17
19,18,1,874,18,18
19,19,1,959,18,19
19,20,1,1048,18,20
19,21,1,1141,18,21
19,22,1,1233,18,22
19,23,1,1331,18,23
19,24,1,1423,18,24
19,25,1,1513,18,25
19,26,1,1600,18,26
19,27,1,1683,18,27
19,28,1,1762,18,28
19,29,1,1837,18,29
19,30,1,1908,18,30
19,31,1,1975,18,31
19,32,1,2034,18,32
19,33,1,2094,19,32
19,34,1,2150,19,33
19,35,1,2202,19,34
19,36,1,2250,19,35
19,37,1,2294,19,36
19,38,1,2334,19,37
19,39,1,2369,19,38
19,40,1,2400,19,39
19,41,1,2420,19,42
19,42,1,2392,19,43
19,43,1,2360,19,44
19,44,1,2323,19,45
19,45,1,2282,19,46
19,46,1,2237,19,47
19,47,1,2188,19,48
19,48,1,2135,19,49
19,49,1,2078,19,0
20,0,1,2079,19,0
20,1,1,2020,19,1
20,2,1,1956,19,2
20,3,1,1888,19,3
20,4,1,1816,19,4
20,5,1,1743,19,5
20,6,1,1663,19,6
20,7,1,1580,19,7
20,8,1,1492,19,8
20,9,1,1400,19,9
20,10,1,1304,19,10
20,11,1,1209,19,11
20,12,1,1115,19,12
20,13,1,1031,19,13
20,14,1,943,19,14
20,15,1,859,19,15
20,16,1,795,19,16
20,17,1,876,19,17
20,18,1,960,19,18
20,19,1,1049,19,19
20,20,1,1142,19,20
20,21,1,1239,19,21
20,22,1,1333,19,22
20,23,1,1427,19,23
20,24,1,1515,19,24
20,25,1,1601,19,25
20,26,1,1684,19,26
20,27,1,1763,19,27
20,28,1,1838,19,28
20,29,1,1909,19,29
20,30,1,1976,19,30
20,31,1,2039,19,31
20,32,1,2093,19,32
20,33,1,2149,20,32
20,34,1,2201,20,33
20,35,1,2249,20,34
20,36,1,2293,20,35
20,37,1,2333,20,36
20,38,1,2368,20,37
20,39,1,2399,20,38
20,40,1,2426,20,39
20,41,1,2443,20,42
20,42,1,2419,20,43
20,43,1,2391,20,44
20,44,1,2359,20,45
20,45,1,2322,20,46
20,46,1,2281,20,47
20,47,1,2236,20,48
20,48,1,2187,20,49
20,49,1,2134,19,49
21,0,1,2136,20,0
21,1,1,2081,20,1
21,2,1,2021,20,2
21,3,1,1957,20,3
21,4,1,1889,20,4
21,5,1,1820,20,5
21,6,1,1744,20,6
21,7,1,1665,20,7
21,8,1,1581,20,8
21,9,1,1493,20,9
21,10,1,1401,20,10
21,11,1,1308,20,11
21,12,1,1212,20,12
21,13,1,1124,20,13
21,14,1,1032,20,14
21,15,1,944,20,15
21,16,1,877,20,16
21,17,1,962,20,17
21,18,1,1050,20,18
21,19,1,1143,20,19
21,20,1,1240,20,20
21,21,1,1339,20,21
21,22,1,1429,20,22
21,23,1,1519,20,23
21,24,1,1603,20,24
21,25,1,1685,20,25
21,26,1,1764,20,26
21,27,1,1839,20,27
21,28,1,1910,20,28
21,29,1,1977,20,29
21,30,1,2040,20,30
21,31,1,2099,20,31
21,32,1,2148,20,32
21,33,1,2199,21,32
21,34,1,2247,21,33
21,35,1,2291,21,34
21,36,1,2331,21,35
21,37,1,2367,21,36
21,38,1,2398,21,37
21,39,1,2425,21,38
21,40,1,2448,21,39
21,41,1,2462,21,42
21,42,1,2442,21,43
21,43,1,2418,21,44
21,44,1,2390,21,45
21,45,1,2358,21,46
21,46,1,2321,21,47
21,47,1,2280,21,48
21,48,1,2235,21,49
21,49,1,2186,20,49
22,0,1,2189,21,0
22,1,1,2138,21,1
22,2,1,2082,21,2
22,3,1,2022,21,3
22,4,1,1958,21,4
22,5,1,1893,21,5
22,6,1,1821,21,6
22,7,1,1746,21,7
22,8,1,1666,21,8
22,9,1,1582,21,9
